Project,Description,Billable,Start Time,End Time,start_timestamp,end_timestamp
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T09:50:58.000Z,2022-04-28T09:50:59.000Z,1651139458,1651139459
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T09:57:36.000Z,2022-04-28T09:57:36.000Z,1651139856,1651139856
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T09:58:28.000Z,2022-04-28T09:58:48.000Z,1651139908,1651139928
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T09:59:05.000Z,2022-04-28T09:59:18.000Z,1651139945,1651139958
5e56de580121f031bdc3afac,Regularly Scheduled Research Call,True,2022-04-28T10:00:00.000Z,2022-04-28T11:00:00.000Z,1651140000,1651143600
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T11:14:46.000Z,2022-04-28T11:20:41.000Z,1651144486,1651144841
5e56df607ba4ff284c53a1e5,Using Trello,True,2022-04-28T12:13:28.000Z,2022-04-28T12:14:10.000Z,1651148008,1651148050
5e56df607ba4ff284c53a1e5,Using Trello,True,2022-04-28T12:14:12.000Z,2022-04-28T12:14:56.000Z,1651148052,1651148096
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T13:22:14.000Z,2022-04-28T13:22:36.000Z,1651152134,1651152156
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:22:45.000Z,2022-04-28T13:26:57.000Z,1651152165,1651152417
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T13:27:14.000Z,2022-04-28T13:27:46.000Z,1651152434,1651152466
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:27:47.000Z,2022-04-28T13:28:07.000Z,1651152467,1651152487
5e56de580121f031bdc3afac,Uncategorized research for ALLFED,True,2022-04-28T13:28:08.000Z,2022-04-28T13:29:14.000Z,1651152488,1651152554
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:29:18.000Z,2022-04-28T13:30:05.000Z,1651152558,1651152605
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:30:17.000Z,2022-04-28T13:32:45.000Z,1651152617,1651152765
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:33:27.000Z,2022-04-28T13:34:59.000Z,1651152807,1651152899
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:35:35.000Z,2022-04-28T13:36:01.000Z,1651152935,1651152961
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:36:05.000Z,2022-04-28T13:38:06.000Z,1651152965,1651153086
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T13:38:41.000Z,2022-04-28T13:38:56.000Z,1651153121,1651153136
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T13:39:28.000Z,2022-04-28T13:54:53.000Z,1651153168,1651154093
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T14:11:31.000Z,2022-04-28T14:12:34.000Z,1651155091,1651155154
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T14:13:05.000Z,2022-04-28T14:15:04.000Z,1651155185,1651155304
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T14:16:36.000Z,2022-04-28T14:16:57.000Z,1651155396,1651155417
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T14:17:34.000Z,2022-04-28T14:18:16.000Z,1651155454,1651155496
5f50058c3a37e35cbede35ea,digital resilience project,True,2022-04-28T14:18:30.000Z,2022-04-28T14:18:38.000Z,1651155510,1651155518
5e56de580121f031bdc3afac,google sheets or google drive,True,2022-04-28T14:25:30.000Z,2022-04-28T14:26:25.000Z,1651155930,1651155985
