Project,Description,Billable,Start Time,End Time,start_timestamp,end_timestamp
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T15:51:46.000Z,2022-03-29T15:52:44.000Z,1648569106.0,1648569164.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T15:52:45.000Z,2022-03-29T15:52:56.000Z,1648569165.0,1648569176.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T15:53:51.000Z,2022-03-29T15:54:02.000Z,1648569231.0,1648569242.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T15:54:05.000Z,2022-03-29T15:54:50.000Z,1648569245.0,1648569290.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T15:54:52.000Z,2022-03-29T15:55:50.000Z,1648569292.0,1648569350.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T15:57:08.000Z,2022-03-29T15:57:38.000Z,1648569428.0,1648569458.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T15:57:58.000Z,2022-03-29T15:58:30.000Z,1648569478.0,1648569510.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:07:14.000Z,2022-03-29T16:08:45.000Z,1648570034.0,1648570125.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:10:02.000Z,2022-03-29T16:10:17.000Z,1648570202.0,1648570217.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:10:36.000Z,2022-03-29T16:10:51.000Z,1648570236.0,1648570251.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:11:34.000Z,2022-03-29T16:12:27.000Z,1648570294.0,1648570347.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:12:46.000Z,2022-03-29T16:13:18.000Z,1648570366.0,1648570398.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:13:19.000Z,2022-03-29T16:13:41.000Z,1648570399.0,1648570421.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:18:11.000Z,2022-03-29T16:18:33.000Z,1648570691.0,1648570713.0
5e56e1665b92677285acd781,Time tracking,True,2022-03-29T16:21:10.000Z,2022-03-29T16:21:38.000Z,1648570870.0,1648570898.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:22:49.000Z,2022-03-29T16:24:14.000Z,1648570969.0,1648571054.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:25:15.000Z,2022-03-29T16:25:35.000Z,1648571115.0,1648571135.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:25:48.000Z,2022-03-29T16:26:28.000Z,1648571148.0,1648571188.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:26:33.000Z,2022-03-29T16:26:44.000Z,1648571193.0,1648571204.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:26:59.000Z,2022-03-29T16:27:17.000Z,1648571219.0,1648571237.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:27:21.000Z,2022-03-29T16:28:01.000Z,1648571241.0,1648571281.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:28:08.000Z,2022-03-29T16:28:42.000Z,1648571288.0,1648571322.0
5e629ba243f3817e058b8f44,Research on losing industry project,True,2022-03-29T16:28:43.000Z,2022-03-29T16:29:57.000Z,1648571323.0,1648571397.0
